project,TP,FP,UP,TN,FN,UN,TU,FU (TS),FU (NS),ts_precision,ts_recall,ns_precision,ns_recall,total-right,total,% right,mixed-true-spec,mixed-spurious-spec,mixed-nbp
kamranzafar.jtar,1,0,0,2,1,0,1,0,3,100.0,50.0,66.7,40.0,4,11,36.4,2,1,0
commons-codec,13,24,6,71,4,1,169,0,105,30.2,76.5,93.4,35.5,253,442,57.2,9,40,0
commons-validator,16,13,0,263,6,1,101,7,210,55.2,55.2,97.4,54.1,380,659,57.7,5,34,3
commons-exec,5,12,0,89,11,0,78,17,50,29.4,15.2,89.0,58.9,172,331,52.0,23,46,0
joda-convert,12,25,0,29,17,0,43,3,29,32.4,37.5,63.0,34.9,84,210,40.0,47,5,0
commons-fileupload,5,17,0,75,2,0,98,8,64,22.7,33.3,97.4,48.1,178,334,53.3,8,56,1
sum,52,91,6,529,41,2,490,35,461,270,268,507,272,1071,1987,297,94,182,4
min,1,0,0,2,1,0,1,0,3,22.7,15.2,63.0,34.9,4,11,36.4,2,1,0
max,16,25,6,263,17,1,169,17,210,100.0,76.5,97.4,58.9,380,659,57.7,47,56,3
avg,8.7,15.2,1,88.2,6.8,0.3,81.7,5.8,76.8,45.0,44.6,84.5,45.3,178.5,331.2,49.4,15.7,30.3,0.7
median,8.5,15.0,0.0,73.0,5.0,0.0,88.0,5.0,57.0,31.3,43.8,91.2,44.0,175.0,332.5,52.6,8.5,37.0,0.0
