Project,numSpecs,numTestConfigs,Mining(s),BaseLine(s),DSI+_wall_time(s),DSI+_wall_time(h),DSI+_seq_time(s),DSI+_seq_time(h),DSI+_wall_oh(x),DSI+_seq_oh(x),DSI++_wall_time(s),DSI++_wall_time(h),DSI++_seq_time(s),DSI++_seq_time(h),DSI++_wall_oh(x),DSI++_seq_oh(x)
kamranzafar.jtar,11,11,9,1,39,0.0,153,0.0,39,153,73,0.0,228,0.1,73,228
commons-codec,445,995,3861,23,5314,1.5,83162,23.1,231,3616,7285,2.0,105873,29.4,317,4603
commons-validator,664,625,254,3,14861,4.1,1181440,328.2,4954,393813,25061,7.0,1378310,382.9,8354,459437
commons-exec,391,103,176,74,3914,1.1,65030,18.1,53,879,3259,0.9,70224,19.5,44,949
joda-convert,210,170,73,1,2041,0.6,153595,42.7,2041,153595,2202,0.6,161475,44.9,2202,161475
commons-fileupload,337,44,302,2,1130,0.3,13419,3.7,565,6710,1312,0.4,15367,4.3,656,7684
sum,2058,1948,4675,104,27299,8,1496799,416,7883,558766,39192,11,1731477,481,11646,634376
min,11,11,9,1,39,0.0,153,0.0,39,153,73,0.0,228,0.1,44,228
max,664,995,3861,74,14861,4.1,1181440,328.2,4954,393813,25061,7.0,1378310,382.9,8354,459437
avg,343,324.7,779.2,17.3,4549.8,1.3,249466.5,69.3,1313.8,93127.7,6532,1.8,288579.5,80.2,1941,105729.3
median,364.0,136.5,215.0,2.5,2977.5,0.9,74096.0,20.6,398.0,5163.0,2730.5,0.8,88048.5,24.4,486.5,6143.5
